-9.668694	-36.2745
-5.5221	-45.2843
-8.225687	-36.013016
-5.5852	-36.817826
-4.224352	-38.290972
-13.099274	-39.515824
-6.578601	-47.412344
-6.824539	-43.098791
-14.930689	-39.434579
-13.494694	-44.268469
-5.535989	-35.818554
-9.87226	-39.90183
-10.99255	-37.789
-5.619879	-35.788782
-11.414837	-41.758733
-7.357693	-36.921745
-7.365445	-38.764044
-3.31032	-40.043
-5.750311	-37.112138
-5.545966	-39.583675
-9.321784	-40.545697
-6.143998	-38.190476
-10.84846	-40.19927
-4.393997	-41.445708
-6.417527	-35.290516
-8.67442	-35.13327
-8.714899	-35.097783
-3.668	-40.4798
-9.121932	-38.063215
-5.190833	-35.463875
-6.121639	-38.270831
-9.9582	-67.879
-5.190833	-35.463875
